,收盘价(元)
1297,3217.4210939997924
1298,3212.218306412315
1299,3191.301397722735
1300,3199.811350336304
1301,3212.7436443961383
1302,3232.257971610074
1303,3201.253696200915
1304,3258.044057731804
1305,3283.4704908237413
1306,3283.4704908237413
1307,3294.1103585252404
1308,3277.262112244842
1309,3273.50941804377
1310,3254.47898423924
1311,3264.490275895419
1312,3342.9546563480812
1313,3354.170080909611
1314,3368.6324638519654
1315,3361.1030861353506
1316,3374.8179732400267
1317,3383.439658185976
1318,3357.6993104459225
1319,3345.6338987343056
1320,3352.7584451012685
1321,3359.9424513644103
1322,3341.80139572439
1323,3352.3400789243856
1324,3370.507084095234
1325,3350.8014024273466
1326,3319.821489707203
1327,3284.136404323491
1328,3290.9271538478547
1329,3290.4535282384163
1330,3294.267362521117
1331,3320.6177109229116
1332,3328.8393250446493
1333,3329.2444364252087
1334,3367.429357726611
1335,3366.318941831878
1336,3335.334175242659
1337,3352.1538583704187
1338,3349.899236184694
1339,3284.538061989517
1340,3299.0648520407617
1341,3295.272020076178
1342,3317.1672634154465
1343,3290.833530180873
1344,3289.5119709813407
1345,3311.6793110197646
1346,3329.1217828874082
1347,3293.631225641274
1348,3327.318103807556
1349,3303.7148586154103
1350,3303.5456266032083
1351,3301.3688530099694
1352,3325.517411724057
1353,3336.787068938146
1354,3314.0690947905236
1355,3236.6354147673874
1356,3156.1194345374606
1357,3137.8298691724476
1358,3184.627234399828
1359,3171.2169275796605
1360,3233.6899563310812
1361,3233.6899563310812
1362,3218.4805442692286
1363,3245.7622754717677
1364,3235.802976220882
1365,3228.0354788886434
1366,3262.019189817639
1367,3294.965852949856
1368,3297.4771701347836
